datetime,maxPersonCount,personCount,free,used,dayOfWeek,dayOfWeekName,date,time
15/01/2025 20:45:01,312,30,90,10,3,Wednesday,15/01/2025,20:45:01
15/01/2025 21:00:01,312,27,91,9,3,Wednesday,15/01/2025,21:00:01
15/01/2025 21:15:01,312,27,91,9,3,Wednesday,15/01/2025,21:15:01
15/01/2025 21:30:01,312,19,94,6,3,Wednesday,15/01/2025,21:30:01
15/01/2025 21:45:01,312,8,97,3,3,Wednesday,15/01/2025,21:45:01
15/01/2025 22:00:01,312,4,99,1,3,Wednesday,15/01/2025,22:00:01
15/01/2025 22:15:01,312,1,100,0,3,Wednesday,15/01/2025,22:15:01
15/01/2025 22:30:01,312,1,100,0,3,Wednesday,15/01/2025,22:30:01
15/01/2025 22:45:01,312,1,100,0,3,Wednesday,15/01/2025,22:45:01
15/01/2025 23:00:01,312,1,100,0,3,Wednesday,15/01/2025,23:00:01
15/01/2025 23:15:01,312,1,100,0,3,Wednesday,15/01/2025,23:15:01
15/01/2025 23:30:01,312,1,100,0,3,Wednesday,15/01/2025,23:30:01
15/01/2025 23:45:01,312,1,100,0,3,Wednesday,15/01/2025,23:45:01
16/01/2025 07:00:01,312,0,100,0,4,Thursday,16/01/2025,07:00:01
16/01/2025 07:15:01,312,0,100,0,4,Thursday,16/01/2025,07:15:01
16/01/2025 07:30:02,312,0,100,0,4,Thursday,16/01/2025,07:30:02
16/01/2025 07:45:02,312,0,100,0,4,Thursday,16/01/2025,07:45:02
16/01/2025 08:00:02,312,0,100,0,4,Thursday,16/01/2025,08:00:02
16/01/2025 08:15:02,312,17,95,5,4,Thursday,16/01/2025,08:15:02
16/01/2025 08:30:01,312,25,92,8,4,Thursday,16/01/2025,08:30:01
16/01/2025 08:45:01,312,28,91,9,4,Thursday,16/01/2025,08:45:01
16/01/2025 09:00:01,312,26,92,8,4,Thursday,16/01/2025,09:00:01
16/01/2025 09:15:01,312,21,93,7,4,Thursday,16/01/2025,09:15:01
16/01/2025 09:30:02,312,20,94,6,4,Thursday,16/01/2025,09:30:02
16/01/2025 09:45:01,312,17,95,5,4,Thursday,16/01/2025,09:45:01
16/01/2025 10:00:01,312,21,93,7,4,Thursday,16/01/2025,10:00:01
16/01/2025 10:15:01,312,21,93,7,4,Thursday,16/01/2025,10:15:01
16/01/2025 10:30:01,312,21,93,7,4,Thursday,16/01/2025,10:30:01
16/01/2025 10:45:01,312,20,94,6,4,Thursday,16/01/2025,10:45:01
16/01/2025 11:00:01,312,20,94,6,4,Thursday,16/01/2025,11:00:01
16/01/2025 11:15:02,312,18,94,6,4,Thursday,16/01/2025,11:15:02
16/01/2025 11:30:01,312,20,94,6,4,Thursday,16/01/2025,11:30:01
16/01/2025 11:45:01,312,26,92,8,4,Thursday,16/01/2025,11:45:01
16/01/2025 12:00:02,312,22,93,7,4,Thursday,16/01/2025,12:00:02
16/01/2025 12:15:01,312,22,93,7,4,Thursday,16/01/2025,12:15:01
16/01/2025 12:30:01,312,25,92,8,4,Thursday,16/01/2025,12:30:01
16/01/2025 12:45:01,312,24,92,8,4,Thursday,16/01/2025,12:45:01
16/01/2025 13:00:02,312,26,92,8,4,Thursday,16/01/2025,13:00:02
16/01/2025 13:15:01,312,26,92,8,4,Thursday,16/01/2025,13:15:01
16/01/2025 13:30:01,312,26,92,8,4,Thursday,16/01/2025,13:30:01
16/01/2025 13:45:01,312,23,93,7,4,Thursday,16/01/2025,13:45:01
16/01/2025 14:00:01,312,45,86,14,4,Thursday,16/01/2025,14:00:01
16/01/2025 14:15:01,312,47,85,15,4,Thursday,16/01/2025,14:15:01
16/01/2025 14:30:01,312,40,87,13,4,Thursday,16/01/2025,14:30:01
16/01/2025 14:45:01,312,40,87,13,4,Thursday,16/01/2025,14:45:01
16/01/2025 15:00:01,312,22,93,7,4,Thursday,16/01/2025,15:00:01
16/01/2025 15:15:01,312,22,93,7,4,Thursday,16/01/2025,15:15:01
16/01/2025 15:30:01,312,26,92,8,4,Thursday,16/01/2025,15:30:01
16/01/2025 15:45:02,312,28,91,9,4,Thursday,16/01/2025,15:45:02
16/01/2025 16:00:01,312,37,88,12,4,Thursday,16/01/2025,16:00:01
16/01/2025 16:15:01,312,38,88,12,4,Thursday,16/01/2025,16:15:01
16/01/2025 16:30:01,312,58,81,19,4,Thursday,16/01/2025,16:30:01
16/01/2025 16:45:01,312,65,79,21,4,Thursday,16/01/2025,16:45:01
16/01/2025 17:00:01,312,81,74,26,4,Thursday,16/01/2025,17:00:01
16/01/2025 17:15:01,312,77,75,25,4,Thursday,16/01/2025,17:15:01
16/01/2025 17:30:01,312,73,77,23,4,Thursday,16/01/2025,17:30:01
16/01/2025 17:45:01,312,60,81,19,4,Thursday,16/01/2025,17:45:01
16/01/2025 18:00:01,312,61,80,20,4,Thursday,16/01/2025,18:00:01
16/01/2025 18:15:02,312,68,78,22,4,Thursday,16/01/2025,18:15:02
16/01/2025 18:30:01,312,54,83,17,4,Thursday,16/01/2025,18:30:01
16/01/2025 18:45:01,312,56,82,18,4,Thursday,16/01/2025,18:45:01
16/01/2025 19:00:01,312,52,83,17,4,Thursday,16/01/2025,19:00:01
16/01/2025 19:15:02,312,50,84,16,4,Thursday,16/01/2025,19:15:02
16/01/2025 19:30:01,312,52,83,17,4,Thursday,16/01/2025,19:30:01
16/01/2025 19:45:02,312,42,87,13,4,Thursday,16/01/2025,19:45:02
16/01/2025 20:00:01,312,35,89,11,4,Thursday,16/01/2025,20:00:01
16/01/2025 20:15:01,312,33,89,11,4,Thursday,16/01/2025,20:15:01
16/01/2025 20:30:01,312,37,88,12,4,Thursday,16/01/2025,20:30:01
16/01/2025 20:45:02,312,37,88,12,4,Thursday,16/01/2025,20:45:02
16/01/2025 21:00:01,312,58,81,19,4,Thursday,16/01/2025,21:00:01
16/01/2025 21:15:01,312,48,85,15,4,Thursday,16/01/2025,21:15:01
16/01/2025 21:30:01,312,41,87,13,4,Thursday,16/01/2025,21:30:01
16/01/2025 21:45:01,312,37,88,12,4,Thursday,16/01/2025,21:45:01
16/01/2025 22:00:01,312,24,92,8,4,Thursday,16/01/2025,22:00:01
16/01/2025 22:15:01,312,6,98,2,4,Thursday,16/01/2025,22:15:01
16/01/2025 22:30:01,312,6,98,2,4,Thursday,16/01/2025,22:30:01
16/01/2025 22:45:02,312,6,98,2,4,Thursday,16/01/2025,22:45:02
16/01/2025 23:00:01,312,6,98,2,4,Thursday,16/01/2025,23:00:01
16/01/2025 23:15:02,312,6,98,2,4,Thursday,16/01/2025,23:15:02
16/01/2025 23:30:01,312,6,98,2,4,Thursday,16/01/2025,23:30:01
16/01/2025 23:45:01,312,6,98,2,4,Thursday,16/01/2025,23:45:01
17/01/2025 07:00:02,312,0,100,0,5,Friday,17/01/2025,07:00:02
17/01/2025 07:15:01,312,0,100,0,5,Friday,17/01/2025,07:15:01
17/01/2025 07:30:01,312,0,100,0,5,Friday,17/01/2025,07:30:01
17/01/2025 07:45:01,312,0,100,0,5,Friday,17/01/2025,07:45:01
17/01/2025 08:00:01,312,0,100,0,5,Friday,17/01/2025,08:00:01
17/01/2025 08:15:01,312,40,87,13,5,Friday,17/01/2025,08:15:01
17/01/2025 08:30:01,312,63,80,20,5,Friday,17/01/2025,08:30:01
17/01/2025 08:45:01,312,64,79,21,5,Friday,17/01/2025,08:45:01
17/01/2025 09:00:02,312,69,78,22,5,Friday,17/01/2025,09:00:02
17/01/2025 09:15:01,312,75,76,24,5,Friday,17/01/2025,09:15:01
17/01/2025 09:30:01,312,56,82,18,5,Friday,17/01/2025,09:30:01
17/01/2025 09:45:01,312,35,89,11,5,Friday,17/01/2025,09:45:01
17/01/2025 10:00:01,312,34,89,11,5,Friday,17/01/2025,10:00:01
17/01/2025 10:15:01,312,34,89,11,5,Friday,17/01/2025,10:15:01
17/01/2025 10:30:01,312,31,90,10,5,Friday,17/01/2025,10:30:01
17/01/2025 10:45:01,312,21,93,7,5,Friday,17/01/2025,10:45:01
17/01/2025 11:00:01,312,43,86,14,5,Friday,17/01/2025,11:00:01
17/01/2025 11:15:01,312,45,86,14,5,Friday,17/01/2025,11:15:01
17/01/2025 11:30:01,312,42,87,13,5,Friday,17/01/2025,11:30:01
